fir_number,station_name,incident_date,time,crime_type,section,latitude,longitude,location_name,people,status,victim_count,suspect_count
CCTNS-2026-1068,Anna Nagar Police Station,2026-03-09,morning,domestic violence,DV Act,13.085128,80.20322,"Temple Street, Anna Nagar, Chennai",2 riders involved,Under Investigation,1,3
CCTNS-2026-1069,Mylapore Police Station,2026-03-10,afternoon,attempt to murder,IPC 307,13.033914,80.27237,"Temple Street, Mylapore, Chennai",pedestrian and 2 suspects,Charge Sheet Filed,2,3
CCTNS-2026-1070,Adyar Police Station,2026-03-11,evening,drug offence,NDPS Act,13.002071,80.251569,"Hospital Junction, Adyar, Chennai",shop owner and unknown accused,Registered,2,4
CCTNS-2026-1071,Velachery Police Station,2026-03-12,night,rape,IPC 376,12.979167,80.213106,"Residential Street, Velachery, Chennai","woman complainant, 1 accused",Under Investigation,2,4
CCTNS-2026-1072,Royapuram Police Station,2026-03-13,late night,robbery,IPC 392,13.118272,80.296207,"Temple Street, Royapuram, Chennai",student complainant and unknown accused,Charge Sheet Filed,2,4
CCTNS-2026-1073,Egmore Police Station,2026-03-14,early morning,assault,IPC 351,13.07601,80.261079,"School Zone, Egmore, Chennai","2 victims, 2 suspects",Registered,2,3
CCTNS-2026-1074,Thousand Lights Police Station,2026-03-15,morning,murder,IPC 302,13.050394,80.265432,"Metro Entrance, Thousand Lights, Chennai",family dispute between 3 persons,Under Investigation,2,2
CCTNS-2026-1075,Teynampet Police Station,2026-03-16,afternoon,chain snatching,IPC 356,13.046705,80.242058,"Bus Stand, Teynampet, Chennai","woman complainant, 1 accused",Charge Sheet Filed,2,1
CCTNS-2026-1076,Anna Nagar Police Station,2026-03-17,evening,harassment,IPC 354A,13.086587,80.216278,"Station Approach, Anna Nagar, Chennai","woman complainant, 1 accused",Registered,2,4
CCTNS-2026-1077,Mylapore Police Station,2026-03-18,night,stalking,IPC 354D,13.032194,80.264061,"Bus Stand, Mylapore, Chennai","2 victims, 2 suspects",Under Investigation,2,2
CCTNS-2026-1078,Adyar Police Station,2026-03-19,late night,domestic violence,DV Act,12.996014,80.263827,"Beach Road, Adyar, Chennai",student complainant and unknown accused,Charge Sheet Filed,1,2
CCTNS-2026-1079,Velachery Police Station,2026-03-20,early morning,cybercrime,IT Act 66C,12.98508,80.215042,"School Zone, Velachery, Chennai",student complainant and unknown accused,Registered,2,4
CCTNS-2026-1080,Royapuram Police Station,2026-03-21,morning,drug offence,NDPS Act,13.115502,80.298008,"Beach Road, Royapuram, Chennai",pedestrian and 2 suspects,Under Investigation,2,2
CCTNS-2026-1081,Egmore Police Station,2026-03-22,afternoon,theft,IPC 379,13.077098,80.260495,"Residential Street, Egmore, Chennai","woman complainant, 1 accused",Charge Sheet Filed,2,4
CCTNS-2026-1082,Thousand Lights Police Station,2026-03-23,evening,robbery,IPC 392,13.058928,80.254594,"Market Road, Thousand Lights, Chennai",family dispute between 3 persons,Registered,1,3
CCTNS-2026-1083,Teynampet Police Station,2026-03-24,night,assault,IPC 351,13.039174,80.253988,"Market Road, Teynampet, Chennai",shop owner and unknown accused,Under Investigation,1,2
CCTNS-2026-1084,Anna Nagar Police Station,2026-03-25,late night,burglary,IPC 457,13.085429,80.204545,"Metro Entrance, Anna Nagar, Chennai","2 victims, 2 suspects",Charge Sheet Filed,2,4
CCTNS-2026-1085,Mylapore Police Station,2026-03-26,early morning,murder,IPC 302,13.031094,80.269155,"Bus Stand, Mylapore, Chennai","woman complainant, 1 accused",Registered,2,4
CCTNS-2026-1086,Adyar Police Station,2026-03-27,morning,attempt to murder,IPC 307,12.999432,80.260817,"Bus Stand, Adyar, Chennai",pedestrian and 2 suspects,Under Investigation,2,4
CCTNS-2026-1087,Velachery Police Station,2026-03-28,afternoon,stalking,IPC 354D,12.970494,80.218728,"Hospital Junction, Velachery, Chennai",pedestrian and 2 suspects,Charge Sheet Filed,1,4
CCTNS-2026-1088,Royapuram Police Station,2026-03-29,evening,domestic violence,DV Act,13.109211,80.293473,"Bus Stand, Royapuram, Chennai",pedestrian and 2 suspects,Registered,2,4
CCTNS-2026-1089,Egmore Police Station,2026-03-30,night,kidnapping,IPC 363,13.076787,80.266348,"School Zone, Egmore, Chennai","1 complainant, 1 suspect",Under Investigation,2,4
CCTNS-2026-1090,Thousand Lights Police Station,2026-03-31,late night,drug offence,NDPS Act,13.05837,80.260808,"Market Road, Thousand Lights, Chennai",pedestrian and 2 suspects,Charge Sheet Filed,1,4
CCTNS-2026-1091,Teynampet Police Station,2026-04-01,early morning,rape,IPC 376,13.036708,80.243863,"Temple Street, Teynampet, Chennai","woman complainant, 1 accused",Registered,2,4
CCTNS-2026-1092,Anna Nagar Police Station,2026-04-02,morning,robbery,IPC 392,13.08453,80.21428,"Hospital Junction, Anna Nagar, Chennai",family dispute between 3 persons,Under Investigation,2,3
CCTNS-2026-1093,Mylapore Police Station,2026-04-03,afternoon,assault,IPC 351,13.039159,80.269225,"Beach Road, Mylapore, Chennai","1 complainant, 1 suspect",Charge Sheet Filed,2,2
CCTNS-2026-1094,Adyar Police Station,2026-04-04,evening,burglary,IPC 457,13.003602,80.261,"Bus Stand, Adyar, Chennai","1 complainant, 1 suspect",Registered,1,2
CCTNS-2026-1095,Velachery Police Station,2026-04-05,night,chain snatching,IPC 356,12.983828,80.223041,"Metro Entrance, Velachery, Chennai",shop owner and unknown accused,Under Investigation,2,1
CCTNS-2026-1096,Royapuram Police Station,2026-04-06,late night,murder,IPC 302,13.114724,80.289987,"Residential Street, Royapuram, Chennai",2 riders involved,Charge Sheet Filed,2,2
CCTNS-2026-1097,Egmore Police Station,2026-04-07,early morning,stalking,IPC 354D,13.074894,80.26832,"Market Road, Egmore, Chennai",shop owner and unknown accused,Registered,2,1
CCTNS-2026-1098,Thousand Lights Police Station,2026-04-08,morning,domestic violence,DV Act,13.058159,80.265062,"Station Approach, Thousand Lights, Chennai",pedestrian and 2 suspects,Under Investigation,2,2
CCTNS-2026-1099,Teynampet Police Station,2026-04-09,afternoon,cybercrime,IT Act 66C,13.035016,80.25075,"Metro Entrance, Teynampet, Chennai","2 victims, 2 suspects",Charge Sheet Filed,2,1
CCTNS-2026-1100,Anna Nagar Police Station,2026-04-10,evening,drug offence,NDPS Act,13.09204,80.211155,"Bus Stand, Anna Nagar, Chennai",2 riders involved,Registered,2,3
101,egmore police station,2026-04-07,night,theft,unknown,13.44835,90.324,anna saila egmore,1 suspect,under investigisation,1,1
